Class,Images,Instances,Box(P),Box(R),mAP50,mAP50-95
all,2601,2601,0.993,0.995,0.995,0.994
A,128,128,0.998,1,0.995,0.995
B,104,104,0.992,1,0.995,0.995
C,90,90,0.996,1,0.995,0.995
D,95,95,0.997,1,0.995,0.995
E,96,96,1,0.964,0.995,0.99
F,92,92,0.972,0.978,0.991,0.98
G,91,91,1,0.938,0.994,0.994
H,112,112,1,0.994,0.995,0.995
I,101,101,1,0.999,0.995,0.992
J,109,109,0.998,1,0.995,0.995
K,114,114,0.997,1,0.995,0.995
L,94,94,0.997,1,0.995,0.995
M,82,82,0.987,1,0.995,0.995
N,102,102,0.901,1,0.993,0.993
O,98,98,1,1,0.995,0.993
P,101,101,0.998,1,0.995,0.995
Q,109,109,0.998,1,0.995,0.995
R,93,93,0.997,1,0.995,0.995
S,102,102,0.997,1,0.995,0.995
T,87,87,0.998,1,0.995,0.995
U,94,94,0.997,1,0.995,0.995
V,84,84,0.997,1,0.995,0.995
W,119,119,0.998,1,0.995,0.995
X,101,101,0.997,1,0.995,0.995
Y,108,108,0.997,1,0.995,0.995
Z,95,95,0.998,1,0.995,0.994
