Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2601,2601,0.895,0.916,0.964,0.932
A,112,112,0.708,0.735,0.837,0.827
B,77,77,0.839,0.974,0.969,0.957
C,99,99,0.668,0.99,0.985,0.932
D,106,106,0.906,0.943,0.978,0.894
E,105,105,0.947,0.943,0.975,0.942
F,92,92,0.918,0.847,0.963,0.946
G,102,102,0.956,0.843,0.973,0.971
H,119,119,0.974,0.983,0.994,0.993
I,93,93,0.946,0.871,0.964,0.948
J,94,94,0.892,0.957,0.983,0.965
K,88,88,0.799,0.989,0.96,0.931
L,98,98,1,0.749,0.969,0.87
M,116,116,0.959,0.974,0.991,0.957
N,105,105,0.949,0.981,0.993,0.991
O,95,95,0.994,1,0.995,0.991
P,90,90,0.884,0.878,0.946,0.905
Q,102,102,0.785,0.824,0.893,0.88
R,89,89,0.995,1,0.995,0.995
S,85,85,0.977,0.965,0.993,0.992
T,93,93,1,0.975,0.993,0.993
U,97,97,0.926,0.647,0.894,0.852
V,122,122,0.756,0.926,0.92,0.861
W,105,105,0.829,0.99,0.971,0.756
X,110,110,0.935,0.973,0.992,0.967
Y,98,98,0.85,0.922,0.959,0.949
Z,109,109,0.887,0.937,0.975,0.958



